Region/Group,Metric,Year,Value (Years)
Global,Life Expectancy (Both Sexes),2000,66.8
Global,Life Expectancy (Both Sexes),2019,73.1
Global,Life Expectancy (Both Sexes),2021,71.4
Global,Life Expectancy (Male),2000,64.4
Global,Life Expectancy (Male),2019,70.6
Global,Life Expectancy (Female),2000,69.2
Global,Life Expectancy (Female),2019,75.7
Global,Healthy Life Expectancy (Both Sexes),2000,58.1
Global,Healthy Life Expectancy (Both Sexes),2019,63.5
Global,Healthy Life Expectancy (Both Sexes),2021,61.9
Global,Healthy Life Expectancy (Male),2000,57.0
Global,Healthy Life Expectancy (Male),2019,62.3
Global,Healthy Life Expectancy (Female),2000,59.3
Global,Healthy Life Expectancy (Female),2019,64.6

Indicator,Global,African Region,Region of Americas,South-East Asia,European Region,Eastern Mediterranean,Western Pacific
Prevalence of stunting (children <5) %,23.2,31.7,9.9,29.7,4.6,26.0,10.2
Prevalence of wasting (children <5) %,6.6,5.6,0.7,13.9,1.0,6.3,1.9
Prevalence of overweight (children <5) %,5.6,3.6,8.6,3.4,7.9,7.6,4.5
Probability of dying before age 70 (2019) %,29.9,46.3,23.5,30.1,23.2,32.4,21.5
Probability of dying before age 70 (HIC) %,19.8,N/A,N/A,N/A,N/A,N/A,N/A
Probability of dying before age 70 (LIC) %,46.8,N/A,N/A,N/A,N/A,N/A,N/A

Target,2024 Estimate (Billions),2025 Projected (Billions),2030 Trajectory (Billions),2030 SDG Goal Scenario (Billions)
Healthier Populations,1.4,1.5,2.0,5.6
Universal Health Coverage (UHC),0.431,0.5,0.8,2.1
Health Emergencies Protection,0.637,0.697,N/A,1.0

Category,Metric,Value
Health Workers,Global Shortage (2020),15.4 Million
Health Workers,Global Shortage (2023),14.7 Million
Health Workers,Projected Shortage (2030),11.1 Million
Health Workers,Total Global Stock (2023),>70 Million
Financial Hardship,Extreme Poverty due to OOP spending (2019),344 Million people
Financial Hardship,Global pop. spending >10% budget on health,13.5%

Category,Cause,Contribution (Years)
Mortality Reduction,Communicable/Maternal/Perinatal/Nutritional,3.4
Mortality Reduction,Noncommunicable Diseases (NCDs),1.4
Mortality Reduction,Injuries,0.4
Morbidity Change,All Causes (Total),0.2
Specific Gain,Lower Respiratory Infections,0.40
Specific Gain,Stroke (Adults 30+),0.37
Specific Gain,Diarrhoeal Diseases,0.35
Specific Loss,Diabetes Morbidity (Adults 30+),-0.14
